Color name,L*,X,Y,Z
Red,20,4.74,2.99,0.48
Red,30,10.36,6.24,0.95
Red,40,19.13,11.25,1.19
Red,50,32.06,18.42,2.00
Red,60,49.21,28.12,2.58
Red,70,59.12,40.75,14.70
Red,80,68.39,56.68,35.70
Red,90,82.47,76.30,68.26
Red,Ref,54.45,30.90,2.54
Red-yellow,20,3.48,2.99,0.85
Red-yellow,30,7.24,6.24,1.49
Red-yellow,40,12.97,11.25,2.34
Red-yellow,50,20.97,18.42,3.40
Red-yellow,60,31.96,28.12,4.78
Red-yellow,70,45.10,40.75,5.83
Red-yellow,80,62.88,56.68,7.85
Red-yellow,90,77.59,76.30,41.69
Red-yellow,Ref,68.22,61.38,7.91
Yellow,20,3.04,2.99,0.83
Yellow,30,6.24,6.24,1.41
Yellow,40,10.62,11.25,2.05
Yellow,50,16.55,18.42,3.00
Yellow,60,25.72,28.12,4.52
Yellow,70,36.51,40.75,6.30
Yellow,80,49.80,56.68,8.62
Yellow,90,65.79,76.30,11.49
Yellow,Ref,86.15,100.41,14.92
Yellow-green,20,2.55,2.99,0.60
Yellow-green,30,5.07,6.24,1.11
Yellow-green,40,8.99,11.25,1.82
Yellow-green,50,14.15,18.42,3.04
Yellow-green,60,20.85,28.12,4.57
Yellow-green,70,29.27,40.75,6.77
Yellow-green,80,40.71,56.68,9.19
Yellow-green,90,53.86,76.30,12.42
Yellow-green,Ref,65.62,94.72,15.28
Green,20,1.81,2.99,0.68
Green,30,3.19,6.24,1.44
Green,40,5.99,11.25,2.77
Green,50,9.31,18.42,4.10
Green,60,14.29,28.12,6.38
Green,70,20.22,40.75,8.20
Green,80,27.52,56.68,10.67
Green,90,36.43,76.30,14.41
Green,Ref,35.93,77.65,13.93
Green-cyan,20,2.03,2.99,4.54
Green-cyan,30,4.21,6.24,9.44
Green-cyan,40,7.36,11.25,15.44
Green-cyan,50,11.98,18.42,25.00
Green-cyan,60,17.52,28.12,33.65
Green-cyan,70,24.98,40.75,45.66
Green-cyan,80,34.39,56.68,61.34
Green-cyan,90,45.77,76.30,79.24
Green-cyan,Ref,50.38,84.76,86.02
Cyan,20,2.64,2.99,6.14
Cyan,30,5.18,6.24,12.38
Cyan,40,8.99,11.25,21.68
Cyan,50,14.05,18.42,34.08
Cyan,60,21.06,28.12,51.05
Cyan,70,29.14,40.75,69.47
Cyan,80,39.60,56.68,93.01
Cyan,90,56.89,76.30,116.12
Cyan,Ref,49.55,72.27,114.91
Cyan-blue,20,2.87,2.99,7.64
Cyan-blue,30,5.88,6.24,16.11
Cyan-blue,40,10.23,11.25,28.98
Cyan-blue,50,15.91,18.42,46.23
Cyan-blue,60,24.24,28.12,70.16
Cyan-blue,70,33.44,40.75,98.09
Cyan-blue,80,48.22,56.68,108.94
Cyan-blue,90,70.64,76.30,113.17
Cyan-blue,Ref,37.25,45.26,111.12
Blue,20,5.20,2.99,23.94
Blue,30,11.35,6.24,54.22
Blue,40,20.31,11.25,96.15
Blue,50,22.80,18.42,92.90
Blue,60,30.05,28.12,101.82
Blue,70,39.46,40.75,105.02
Blue,80,53.22,56.68,107.06
Blue,90,71.87,76.30,109.79
Blue,Ref,21.68,10.77,105.09
Blue-magenta,20,5.27,2.99,8.50
Blue-magenta,30,11.40,6.24,21.73
Blue-magenta,40,20.97,11.25,43.13
Blue-magenta,50,34.75,18.42,78.57
Blue-magenta,60,47.15,28.12,107.15
Blue-magenta,70,55.18,40.75,109.58
Blue-magenta,80,66.66,56.68,111.96
Blue-magenta,90,79.84,76.30,115.40
Blue-magenta,Ref,44.79,23.30,105.63
Magenta,20,5.26,2.99,5.82
Magenta,30,11.20,6.24,14.50
Magenta,40,20.53,11.25,27.51
Magenta,50,33.79,18.42,45.88
Magenta,60,51.91,28.12,75.26
Magenta,70,70.08,40.75,105.76
Magenta,80,76.29,56.68,110.69
Magenta,90,85.39,76.30,114.39
Magenta,Ref,68.73,36.83,106.85
Magenta-red,20,11.06,6.24,10.47
Magenta-red,30,19.96,11.25,16.62
Magenta-red,40,32.72,18.42,25.91
Magenta-red,50,50.38,28.12,40.77
Magenta-red,60,68.29,40.75,65.68
Magenta-red,70,77.47,56.68,86.26
Magenta-red,80,88.50,76.30,104.63
Magenta-red,90,64.36,35.53,53.66
Magenta-red,Ref,65.64,35.53,45.43
